1	51	87	1	11	17	1	1	2
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	5	4	4	21	55	1	75	75
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
97	93	98	97	111	96	113	113	112
96	97	98	95	97	95	99	98	99
3	1	1	4	4	1	3	1	2
95	93	91	96	98	95	99	98	99
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
96	98	99	97	98	95	99	98	99
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
94	97	98	63	19	58	26	87	81
94	97	97	63	14	19	26	87	81
94	97	97	62	15	19	26	87	81
